# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.VoidgloomBoss	M	method7	getEndermen	access alignment: method7 renamed but a receiver on VoidgloomBoss was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.VoidgloomBoss	M	method1	update	access alignment: method1 renamed but a receiver on VoidgloomBoss was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.VoidgloomBoss	M	method9	getBeaconData	access alignment: method9 renamed but a receiver on VoidgloomBoss was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.VoidgloomBoss	M	method3	getNameTag	access alignment: method3 renamed but a receiver on VoidgloomBoss was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.coordinates.mixin.MaxLevels	M	method1	getMaxLevels	access alignment: method1 renamed but a receiver on MaxLevels was not rewritten
com.moonsworth.lunar.client.mod.render.ServerBorders	M	method6	renderWorldBorders	access alignment: method6 renamed but a receiver on ServerBorders was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CircleFitter.Data	M	method1	getX	access alignment: method1 renamed but a receiver on CircleFitter.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CircleFitter.Data	M	method2	getY	access alignment: method2 renamed but a receiver on CircleFitter.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CircleFitter.Data	M	method4	getRadius	access alignment: method4 renamed but a receiver on CircleFitter.Data was not rewritten
com.moonsworth.lunar.client.framework.feature.mod.fishing.click.CircleFitter.Data	M	method3	getWeight	access alignment: method3 renamed but a receiver on CircleFitter.Data was not rewritten
com.moonsworth.lunar.client.profile.ModProfile	M	method2	isDefaultProfile	access alignment: method2 renamed but a receiver on ModProfile was not rewritten
com.moonsworth.lunar.client.profile.importer.BadlionProfileConverter	M	method2	convert	access alignment: method2 renamed but a receiver on BadlionProfileConverter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileImporter	M	method7	clampAllOptions	access alignment: method7 renamed but a receiver on FeatherProfileImporter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileConverter	M	method3	convert	access alignment: method3 renamed but a receiver on FeatherProfileConverter was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method4	intersects	access alignment: method4 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump70	M	method5	contains	access alignment: method5 renamed but a receiver on ThreadModuleDump70 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump7	M	method1	intersects	access alignment: method1 renamed but a receiver on ThreadModuleDump7 was not rewritten
com.moonsworth.lunar.client.util.ThreadModuleDump7	M	method2	add	access alignment: method2 renamed but a receiver on ThreadModuleDump7 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert	M	method3	getIdleFactor	access alignment: method3 renamed but a receiver on Alert was not rewritten
com.moonsworth.lunar.client.util.WeightedQuadtree	M	method1	getWeight	access alignment: method1 renamed but a receiver on WeightedQuadtree was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method9	isRenderOnTick	access alignment: method9 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method10	getRenderWidth	access alignment: method10 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method11	getRenderHeight	access alignment: method11 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method4	getTexture	access alignment: method4 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method5	getFragmentShader	access alignment: method5 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method6	getVertexShader	access alignment: method6 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method7	getUniforms	access alignment: method7 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method8	getSamplers	access alignment: method8 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method12	getVertexSource	access alignment: method12 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.alert.Alert6	M	method13	getFragmentSource	access alignment: method13 renamed but a receiver on Alert6 was not rewritten
com.moonsworth.lunar.client.util.chest.mixin.ChestHandler2	M	method1	isRetryAxisSwaps	access alignment: method1 renamed but a receiver on ChestHandler2 was not rewritten
com.moonsworth.lunar.client.util.chest.SExtension	M	method4	getStart	access alignment: method4 renamed but a receiver on SExtension was not rewritten
com.moonsworth.lunar.client.util.chest.SExtension	M	method5	getEnd	access alignment: method5 renamed but a receiver on SExtension was not rewritten
com.moonsworth.lunar.client.util.chest.SExtension	M	method6	getResultFunction	access alignment: method6 renamed but a receiver on SExtension was not rewritten
com.moonsworth.lunar.client.util.chest.SExtension	M	method7	getMissSupplier	access alignment: method7 renamed but a receiver on SExtension was not rewritten
com.moonsworth.lunar.client.util.chest.mixin.ChestHandler3	M	method3	getPartialTicks	access alignment: method3 renamed but a receiver on ChestHandler3 was not rewritten
com.moonsworth.lunar.client.util.chest.mixin.ChestHandler	M	method1	isCheckParts	access alignment: method1 renamed but a receiver on ChestHandler was not rewritten
com.moonsworth.lunar.client.util.chest.SImpl	M	method4	getMissSupplier	access alignment: method4 renamed but a receiver on SImpl was not rewritten
com.moonsworth.lunar.client.util.chest.SImpl	M	method3	getType	access alignment: method3 renamed but a receiver on SImpl was not rewritten
com.moonsworth.lunar.client.util.chest.SImpl	M	method6	getResultFactory	access alignment: method6 renamed but a receiver on SImpl was not rewritten
com.moonsworth.lunar.client.util.chest.SImpl	M	method1	create	access alignment: method1 renamed but a receiver on SImpl was not rewritten
com.moonsworth.lunar.files.mixin.AssetIndex	M	method1	getSha1	access alignment: method1 renamed but a receiver on AssetIndex was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method5	getTime	access alignment: method5 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files2	M	method1	getSha1	access alignment: method1 renamed but a receiver on Files2 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method4	getTime	access alignment: method4 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method10	getLatest	access alignment: method10 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method11	getVersions	access alignment: method11 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method5	getTime	access alignment: method5 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method4	getTime	access alignment: method4 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method10	getLatest	access alignment: method10 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method11	getVersions	access alignment: method11 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.client.mod.hud.Tab	M	method22	getBackgroundColor	access alignment: method22 renamed but a receiver on Tab was not rewritten
com.moonsworth.lunar.client.mod.hud.Tab	M	method21	getFooterColor	access alignment: method21 renamed but a receiver on Tab was not rewritten
com.moonsworth.lunar.client.mod.hud.Tab	M	method13	isNpcHidden	access alignment: method13 renamed but a receiver on Tab was not rewritten
com.moonsworth.lunar.client.mod.render.MenuBlur	M	method8	getScreenBackgroundColor	access alignment: method8 renamed but a receiver on MenuBlur was not rewritten
com.moonsworth.lunar.client.mod.render.OverlayMod	M	method42	isHideChestEnabled	access alignment: method42 renamed but a receiver on OverlayMod was not rewritten
com.moonsworth.lunar.client.mod.render.OverlayMod	M	method43	isHideLeggingsEnabled	access alignment: method43 renamed but a receiver on OverlayMod was not rewritten
com.moonsworth.lunar.client.mod.render.OverlayMod	M	method44	isHideBootsEnabled	access alignment: method44 renamed but a receiver on OverlayMod was not rewritten
com.moonsworth.lunar.network.MixinHelper2	M	method31	lunarClientGitBranch	access alignment: method31 renamed but a receiver on MixinHelper2 was not rewritten
com.moonsworth.lunar.network.MixinHelper13	M	method3	richStatusSource	access alignment: method3 renamed but a receiver on MixinHelper13 was not rewritten
com.moonsworth.lunar.network.MixinHelper12	M	method4	hostUsername	access alignment: method4 renamed but a receiver on MixinHelper12 was not rewritten
